;;;;;;;;;test_accuracy;test_accuracy;test_macro_f1;test_macro_f1;train_accuracy;train_accuracy;train_macro_f1;train_macro_f1
;;;;;;;;;mean;std;mean;std;mean;std;mean;std
dataset_name;sampler_name;budget;label_propagation_uncertainty_treshold;embedding_dim;hidden_dim_size;dropout;distance_loss_weight;learning_rate;;;;;;;;
Cora;model;119;0.4;16;128;0.5;1;0.003;0.800611995104039;0.0175433852278988;0.786253349571769;0.0213314520935633;0.890756302521008;0.0343065790305768;0.880655184911936;0.0352562012376454
Cora;model;126;0.4;16;128;0.5;1;0.003;0.797796817625459;0.0163280273368007;0.783515354302478;0.0189858579747924;0.887301587301587;0.0230021853114118;0.880997509681357;0.0243705230797568
Cora;model;133;0.4;16;128;0.5;1;0.003;0.796695226438188;0.017438698800343;0.783868865142232;0.020191887348506;0.889473684210526;0.028143923886977;0.882131488172723;0.0301404229304681
Cora;model;140;0.4;16;128;0.5;1;0.003;0.797796817625459;0.0176224365391342;0.78446495921266;0.0196767288069144;0.882857142857143;0.0254661751564208;0.873473969070692;0.0279512064244973
Cora;model;7;0.8;16;128;0.5;1;0.003;0.259975520195838;0.0565666544601399;0.19765971955162;0.0573860833227601;0.828571428571429;0.112687233963802;0.723857142857143;0.161220222650522
Cora;model;14;0.8;16;128;0.5;1;0.003;0.421664626682987;0.1180038429908;0.357950259259287;0.107459824354571;0.8;0.115666264776106;0.72918401704116;0.136455344681082
Cora;model;21;0.8;16;128;0.5;1;0.003;0.524479804161567;0.0859164986554487;0.456443976034654;0.0925051019475131;0.876190476190476;0.084589921234757;0.825658587444302;0.0927988987704644
Cora;model;28;0.8;16;128;0.5;1;0.003;0.567197062423501;0.051968599265924;0.500597122778724;0.0735349551296797;0.892857142857143;0.0858464589396188;0.868839095544978;0.112270570532267
Cora;model;35;0.8;16;128;0.5;1;0.003;0.625336597307222;0.0504249964854034;0.55254588591661;0.0581182387788622;0.934285714285714;0.0447720353277835;0.917786776936268;0.0597138683681335
Cora;model;42;0.8;16;128;0.5;1;0.003;0.653855569155447;0.0402360084416233;0.593746731310297;0.0508293376487861;0.930952380952381;0.0411628650155236;0.918652754128794;0.0572087324643734
Cora;model;49;0.8;16;128;0.5;1;0.003;0.698653610771114;0.0360000191985357;0.653972073894413;0.0556138664086486;0.948979591836735;0.0308006297215558;0.934502185756208;0.0402491041116332
